Actual Class,Predicted Class,Cleaned_Text,Raw_Text
Sci/Tech,Business,"card fraud unit net 36,000 card in it first two year the uk s dedicated card fraud unit ha recovered 36,000 stolen card and 171 arrest and estimate it saved 65m","Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m."
Sci/Tech,Business,some people not eligible to get in on google ipo google ha billed it ipo a a way for everyday people to get in on the process denying wall street the usual stranglehold it s had on ipo public bidding a minimum of just five share an open process with 28 underwriter all this pointed to a new level of public participation but this is n't the case,"Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case."
Sci/Tech,Business,rival try to turn table on charles schwab by michael liedtke san francisco ap with it low price and iconoclastic attitude discount stock broker charles schwab corp sch represented an annoying stone in wall street s wing-tipped shoe for decade,"Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades..."
World,Business,venezuela prepares for chavez recall vote supporter and rival warn of possible fraud government say chavez s defeat could produce turmoil in world oil market,Venezuela Prepares for Chavez Recall Vote Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.
Sci/Tech,Sports,promoting a shared vision a michael kaleko kept running into people who were getting older and having more vision problem he realized he could do something about it,"Promoting a Shared Vision As Michael Kaleko kept running into people who were getting older and having more vision problems, he realized he could do something about it."
World,Business,india s tata expands regional footprint via natsteel buyout afp afp india s tata iron and steel company ltd took a strategic step to expand it asian footprint with the announcement it will buy the asia-pacific steel operation of singapore s natsteel ltd,India's Tata expands regional footprint via NatSteel buyout (AFP) AFP - India's Tata Iron and Steel Company Ltd. took a strategic step to expand its Asian footprint with the announcement it will buy the Asia-Pacific steel operations of Singapore's NatSteel Ltd.
World,Sports,live olympics day four richard fauld and stephen parry are going for gold for great britain on day four in athens,Live: Olympics day four Richard Faulds and Stephen Parry are going for gold for Great Britain on day four in Athens.
Business,Sci/Tech,intel to delay product aimed for high-definition tv san francisco in the latest of a series of product delay intel corp ha postponed the launch of a video display chip it had previously planned to introduce by year end putting off a showdown with texas instrument inc in the fast-growing market for high-definition television display,"Intel to delay product aimed for high-definition TVs SAN FRANCISCO -- In the latest of a series of product delays, Intel Corp. has postponed the launch of a video display chip it had previously planned to introduce by year end, putting off a showdown with Texas Instruments Inc. in the fast-growing market for high-definition television displays."
Business,Sci/Tech,surviving biotech s downturn charly travers offer advice on withstanding the volatility of the biotech sector,Surviving Biotech's Downturns Charly Travers offers advice on withstanding the volatility of the biotech sector.
World,Sports,mr downer shoot his mouth off just what alexander downer wa thinking when he declared on radio last friday that quot they could fire a missile from north korea to sydney quot is unclear the provocative remark just day before his arrival yesterday on his second visit to the north korean,"Mr Downer shoots his mouth off Just what Alexander Downer was thinking when he declared on radio last Friday that  quot;they could fire a missile from North Korea to Sydney quot; is unclear. The provocative remark, just days before his arrival yesterday on his second visit to the North Korean ..."
World,Business,stock climb on drop in consumer price new york stock rose for a second straight session tuesday a a drop in consumer price allowed investor to put aside worry about inflation at least for the short term with gasoline price falling to eight-month low the consumer price index registered a small drop in july giving consumer a respite from soaring energy price,"Stocks Climb on Drop in Consumer Prices NEW YORK - Stocks rose for a second straight session Tuesday as a drop in consumer prices allowed investors to put aside worries about inflation, at least for the short term.    With gasoline prices falling to eight-month lows, the Consumer Price Index registered a small drop in July, giving consumers a respite from soaring energy prices..."
Business,Sci/Tech,yahoo ups ante for small business web giant yahoo is gambling that price cut on it domain name registration and web hosting product will make it more competitive with discounter in the space which mean that small business looking to move online get a sweeter deal through,Yahoo! Ups Ante for Small Businesses Web giant Yahoo! is gambling that price cuts on its domain name registration and Web hosting products will make it more competitive with discounters in the space -- which means that small businesses looking to move online get a sweeter deal through ...
World,Business,oil price bubble to record high the price of oil ha continued it sharp rise overnight closing at a record high the main contract in new york light sweet crude for delivery next month ha closed at a record us46.75 a barrel up 70 cent on yesterday 39 s close,"Oil prices bubble to record high The price of oil has continued its sharp rise overnight, closing at a record high. The main contract in New York, light sweet crude for delivery next month, has closed at a record \$US46.75 a barrel - up 70 cents on yesterday #39;s close. "
World,Sports,schrder adopts russian orphan three-year-old victoria from st petersburg ha been living at the schrders 39 family home in hanover in northern germany for several week,"Schrder adopts Russian orphan Three-year-old Victoria, from St Petersburg, has been living at the Schrders #39; family home in Hanover in northern Germany for several weeks. "
World,Sci/Tech,fresh fighting shatters short-lived ceasefire deal renewed clash in south ossetia which resulted in death of two georgian soldier erupted late on august 17 several hour after the south ossetian and georgian official agreed on ceasefire a a result tbilisi ha already announced that it will not,"Fresh Fighting Shatters Short-Lived Ceasefire Deal Renewed clashes in South Ossetia, which resulted in death of two Georgian soldiers, erupted late on August 17, several hours after the South Ossetian and Georgian officials agreed on ceasefire. As a result Tbilisi has already announced that it will not ..."
World,Business,google lower it ipo price range san jose calif in a sign that google inc s initial public offering is n't a popular a expected the company lowered it estimated price range to between 85 and 95 per share down from the earlier prediction of 108 and 135 per share,"Google Lowers Its IPO Price Range SAN JOSE, Calif. - In a sign that Google Inc.'s initial public offering isn't as popular as expected, the company lowered its estimated price range to between \$85 and \$95 per share, down from the earlier prediction of \$108 and \$135 per share..."
Sports,Sci/Tech,giant win 6th straight but schmidt is injured san francisco with the first doubleheader at sbc park set to go off today already stood to be a long workday for the giant it will come on the heel of an even longer night,"Giants win 6th straight, but Schmidt is injured SAN FRANCISCO -- With the first doubleheader at SBC Park set to go off, today already stood to be a long workday for the Giants. It will come on the heels of an even longer night. "
Business,Sci/Tech,ross store profit plummet 40 percent ap ap discount retailer ross store inc wednesday said it profit fell about 40 percent in the latest quarter due to problem with a new computer system that limited the company s ability to respond to change in customer demand,Ross Stores Profit Plummets 40 Percent (AP) AP - Discount retailer Ross Stores Inc. Wednesday said its profit fell about 40 percent in the latest quarter due to problems with a new computer system that limited the company's ability to respond to changes in customer demand.
Sci/Tech,Business,intuit post wider loss after charge reuters reuters intuit inc intu.o maker of\the no 1 u.s tax presentation software turbotax on wednesday\posted a wider quarterly loss after taking a goodwill\impairment charge during it seasonally weaker fourth quarter,"Intuit Posts Wider Loss After Charge (Reuters) Reuters - Intuit Inc. (INTU.O), maker of\the No. 1 U.S. tax presentation software TurboTax, on Wednesday\posted a wider quarterly loss after taking a goodwill\impairment charge during its seasonally weaker fourth quarter."
Business,Sci/Tech,selling houston wart and all especially wart description of urban affliction and image of giant mosquito and cockroach to convey a sense of how houston is nevertheless beloved by many resident,"Selling Houston Warts and All, Especially Warts Descriptions of urban afflictions and images of giant mosquitoes and cockroaches to convey a sense of how Houston is nevertheless beloved by many residents."
Sci/Tech,Business,caterpillar snap up another remanufacturer of engine peoria caterpillar inc said wednesday it will acquire a south carolina remanufacturer of engine and automatic transmission increasing it u employment base by 500 people,"Caterpillar snaps up another remanufacturer of engines PEORIA - Caterpillar Inc. said Wednesday it will acquire a South Carolina remanufacturer of engines and automatic transmissions, increasing its US employment base by 500 people. "
Sci/Tech,Business,ciena post a loss forecast flat sale by deborah cohen chicago reuters telecommunication equipment makerciena corp on thursday reported a wider loss for thefiscal third quarter due to slack demand and forecast sale inthe current quarter would be little changed from the thirdquarter,"Ciena Posts a Loss, Forecasts Flat Sales &lt;p&gt;&lt;/p&gt;&lt;p&gt; By Deborah Cohen&lt;/p&gt;&lt;p&gt; CHICAGO (Reuters) - Telecommunications equipment makerCiena Corp. &lt;CIEN.O&gt; on Thursday reported a wider loss for thefiscal third quarter due to slack demand and forecast sales inthe current quarter would be little changed from the thirdquarter.&lt;/p&gt;"
Sci/Tech,Business,ecuadorean lawsuit v texaco boil down to science reuters reuters after a decade\of court battle lawyer on wednesday took a lawsuit by\ecuadorean indian accusing u.s oil firm chevrontexaco corp of polluting the amazon jungle into the field,"Ecuadorean Lawsuit Vs Texaco Boils Down to Science (Reuters) Reuters - After a decade\of court battles, lawyers on Wednesday took a lawsuit by\Ecuadorean Indians accusing U.S. oil firm ChevronTexaco Corp..\of polluting the Amazon jungle into the field."
Sci/Tech,Sports,atlantis evidence found in spain ireland in 360 b.c the greek philosopher plato described an island he called atlantis now contradicting new evidence claim the fabled city-state wa based on a real place,"Atlantis ""Evidence"" Found in Spain, Ireland In 360 B.C. the Greek philosopher Plato described an island he called Atlantis. Now contradicting new evidence claims the fabled city-state was based on a real place."
World,Business,producer sue for ring profit hollywood producer saul zaentz sue the producer of the lord of the ring for 20m in royalty,Producer sues for Rings profits Hollywood producer Saul Zaentz sues the producers of The Lord of the Rings for \$20m in royalties.
Sports,Business,don 39 t expect tiger to relinquish his top ranking without a fight they 39 re calling ohio a quot battleground state quot one of the two or three place likely to decide november 39 s presidential election on local tv the bush and kerry ad air so frequently that it 39 s easy to forget it 39 s bob costa who actually run the country,"Don #39;t expect Tiger to relinquish his top ranking without a fight They #39;re calling Ohio a  quot;battleground state, quot; one of the two or three places likely to decide November #39;s presidential election. On local TV, the Bush and Kerry ads air so frequently that it #39;s easy to forget it #39;s Bob Costas who actually runs the country. "
Business,Sci/Tech,clicking on profit the latest data from the u department of commerce further bolster what we have all suspected e-commerce sale are increasing not only might one suspect that consumer confidence ha been bolstered since last year there,"Clicking on Profits The latest data from the US Department of Commerce further bolsters what we have all suspected: E-commerce sales are increasing. Not only might one suspect that consumer confidence has been bolstered since last year, there ..."
World,Business,crude price spike may send gas higher ap ap amid soaring crude oil price gasoline cost have been dropping but do n't expect that to last economist say,"Crude Price Spike May Send Gas Higher (AP) AP - Amid soaring crude oil prices, gasoline costs have been dropping. But don't expect that to last, economists say."
Business,Sci/Tech,amazon snap up china s largest web retailer newsfactor newsfactor amazon.com nasdaq amzn ha said it will buy joyo.com limited a british virgin island company that operates the largest internet retail web site in china for u 36 75 million,Amazon Snaps Up China's Largest Web Retailer (NewsFactor) NewsFactor - Amazon.com (Nasdaq: AMZN) has said it will buy Joyo.com Limited -- a British Virgin Islands company that operates the largest Internet retail Web site in China -- for US #36;75 million.
World,Sci/Tech,italian pm 39 s transplant confirmed after day of speculation sparked by the white bandanna worn by mr berlusconi on holiday in sardinia piero rosati said the result of the operation would show in a couple of month,"Italian PM #39;s transplant confirmed After days of speculation sparked by the white bandanna worn by Mr Berlusconi on holiday in Sardinia, Piero Rosati said the results of the operation would show in a couple of months."
Sports,World,lithuanian deliver nba star another olympic basketball dunking afp afp lithuania defeated the united state 94-90 in an olympic men s basketball preliminary round game only the fourth loss in 115 olympic start for the defending champion,"Lithuanians deliver NBA stars another Olympic basketball dunking (AFP) AFP - Lithuania defeated the United States 94-90 in an Olympic men's basketball preliminary round game, only the fourth loss in 115 Olympic starts for the defending champions."
Sports,Sci/Tech,glory come amid empty seat and closed shutter here in old europe people install shutter outside their window to keep out the heat the pollution the daylight the noise they also lock the shutter tight when they go away on holiday,"Glory Comes Amid Empty Seats and Closed Shutters HERE in Old Europe, people install shutters outside their windows to keep out the heat, the pollution, the daylight, the noise. They also lock the shutters tight when they go away on holiday."
Sci/Tech,Business,amazon to buy chinese retailer joyo.com internet retailer amazon.com inc said on thursday that it will buy joyo.com ltd which run some of china 39 s biggest retail web site for about 75 million to gain entry into china 39 s fast-growing market,"Amazon to Buy Chinese Retailer Joyo.com Internet retailer Amazon.com Inc. said on Thursday that it will buy Joyo.com Ltd., which runs some of China #39;s biggest retail Web sites, for about \$75 million to gain entry into China #39;s fast-growing market."
Sci/Tech,Business,salesforce.com 2q profit up sharply software developer salesforce.com inc posted a sharp rise in second-quarter profit on better-than-expected revenue during it first quarter a a public company but investor shunned the stock in late trading,"Salesforce.com 2Q Profit Up Sharply Software developer Salesforce.com Inc. posted a sharp rise in second-quarter profit on better-than-expected revenue during its first quarter as a public company, but investors shunned the stock in late trading "
World,Sports,unknown nesterenko make world headline reuters reuters belarus yuliya nesterenko won the top\women s athletics gold medal at the olympics on saturday triumphing over a field stripped of many big name because of\doping woe to win the 100 meter,"Unknown Nesterenko Makes World Headlines (Reuters) Reuters - Belarus' Yuliya Nesterenko won the top\women's athletics gold medal at the Olympics on Saturday,\triumphing over a field stripped of many big names because of\doping woes to win the 100 meters."
World,Sports,greek weightlifter awaits verdict greek weightlifter leonidas sampanis will find out on sunday if he is to be stripped of his medal,Greek weightlifter awaits verdict Greek weightlifter Leonidas Sampanis will find out on Sunday if he is to be stripped of his medal.
World,Business,a founding father give the guy some credit tung chee-hwa hong kong 39 s embattled chief executive get precious little of it from his people these daysand heap of,"A Founding Father? Give the guy some credit. Tung Chee-hwa, Hong Kong #39;s embattled Chief Executive, gets precious little of it from his people these daysand heaps of "
Sci/Tech,Sports,press start for nostalgia like led zeppelin 39 s 39 39 stairway to heaven 39 39 and lynyrd skynyrd 39 s 39 39 freebird 39 39 classic video game like frogger and pong can bring back an entire era,"PRESS START FOR NOSTALGIA Like Led Zeppelin #39;s  #39; #39;Stairway to Heaven #39; #39; and Lynyrd Skynyrd #39;s  #39; #39;Freebird, #39; #39; classic video games like Frogger and Pong can bring back an entire era."
World,Sports,u.s softball team win close in on gold athens greece right now the american are n't just a dream team they re more like the perfect team lisa fernandez pitched a three-hitter sunday and crystl bustos drove in two run a the american rolled to their eighth shutout in eight day 5-0 over australia putting them into the gold medal game,"U.S. Softball Team Wins, Closes in on Gold ATHENS, Greece - Right now, the Americans aren't just a Dream Team - they're more like the Perfect Team. Lisa Fernandez pitched a three-hitter Sunday and Crystl Bustos drove in two runs as the Americans rolled to their eighth shutout in eight days, 5-0 over Australia, putting them into the gold medal game..."
